config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
13,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,1111855253.0747283,1053546660.449833,1039979269.2728615,8.651107788085938,4.611996650695801,4.148018817318189e-09,7.780785793443101e-09,0.0,0.0,0.0,op_decomposed
14,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,9841813649.103008,9324111603.264286,9200552886.188328,11.832801818847656,9.682252883911133,9.837874959117698e-10,1.202298927083234e-09,0.0,0.0,0.0,op_decomposed
15,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,1111855253.0747283,1053546660.449833,1039979269.2728615,8.651107788085938,4.611996650695801,4.148018817318189e-09,7.780785793443101e-09,0.0,0.0,0.0,op_decomposed
16,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,728865468.3094383,687007512.2767241,677735803.3770617,8.59876537322998,4.550921440124512,6.243842776143538e-09,1.1797465226948134e-08,0.0,0.0,0.0,op_decomposed
17,7|16|32|32|64|64|64|128|128|128|128|128|128|128|2,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,1220534305.4651015,1142691815.746,1127495116.677955,10.682148933410645,7.921990394592285,6.490592951990948e-09,8.752026658953582e-09,0.0,0.0,0.0,op_decomposed
18,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,994834647.0995727,946702972.9541931,934398613.0235208,8.176560401916504,1.1360375881195068,1.1419361012343643e-09,8.219014802079982e-09,0.0,0.0,0.0,op_decomposed
19,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,2046047464.4954884,1937083621.3329432,1913414523.9481125,11.112445831298828,6.538456916809082,3.19565240936015e-09,5.431176841597107e-09,0.0,0.0,0.0,op_decomposed
20,3|64|13|13|192|26|256|384|256|128|256|51|128|512|2,3|3|6|5|2|2|4|6|5|2|4|6|4|8|2,5593778299.036619,5343705920.247758,5275122446.930141,11.655126571655273,9.650691986083984,1.725254605844384e-09,2.0835875247371405e-09,0.0,0.0,0.0,op_decomposed
21,27|32|128|32|256|256|256|256|384|51|512|384|256|512|2,4|3|3|3|2|6|8|4|5|2|2|8|3|3|2,2807101780.767319,2611724975.561169,2583097497.450124,11.717344284057617,9.658026695251465,3.4405687188154843e-09,4.174178780402826e-09,0.0,0.0,0.0,op_decomposed
22,3|64|96|128|128|256|64|128|512|384|512|256|384|384|5,2|4|6|2|5|6|8|4|3|3|2|8|4|2|8,8934384948.743483,8660066192.930132,8534353540.832026,11.856399536132812,9.676056861877441,1.0830132346484334e-09,1.3270526899589186e-09,0.0,0.0,0.0,op_decomposed
