layer,kind,k,bits,S_i,gamma_i,a_i,W_norm_i,H_im1,sigma_k1,eta_measured,predicted_full_term,empirical_sensitivity
0,conv,14,4,22191214.82236091,214369.94774284225,2.73786997795105,2.73786997795105,103.518310546875,0.11149062216281891,0.2268276959657669,7507694.475931288,3.980196952819824
1,conv,32,4,2889611.3333010585,52843.68297351613,4.056680679321289,4.056680679321289,54.682247161865234,0.48485106229782104,0.549354612827301,2988452.4398058252,10.527990341186523
2,conv,64,4,512298.99580942147,13103.502615796899,4.032790660858154,4.032790660858154,39.09634017944336,0.46029776334762573,0.4573238492012024,470096.6306417867,4.174805641174316
3,conv,64,4,39259.28436142984,1570.2425894547778,8.344890594482422,8.344890594482422,25.002050399780273,1.1108475923538208,0.6174833178520203,67853.03467441998,5.107940196990967
4,conv,128,4,3253.4170636866265,230.36618482183664,6.81628942489624,6.81628942489624,14.122806549072266,0.8627385497093201,0.9321672320365906,5839.577098041929,6.382427215576172
5,conv,128,4,56.6905388618362,6.576600349073033,35.02815628051758,35.02815628051758,8.620037078857422,4.365365982055664,5.749534606933594,573.4191649237055,2.5531654357910156
6,linear,128,4,92.38507104344899,2.335293769836426,2.8161768913269043,2.8161768913269043,39.56036376953125,0.0016419035382568836,1.0608810186386108,98.16125565060294,3.0806732177734375
7,linear,5,4,37.04190444946289,1.0,2.335293769836426,2.335293769836426,37.04190444946289,2.0146234035491943,0.5149027705192566,93.698466842259,13.664033889770508
