budget,Si_guided_acc,uniform_acc,empirical_acc,Si_guided_err_mean,uniform_err_mean,empirical_err_mean,Si_guided_ks,uniform_ks,empirical_ks,Si_guided_bits,uniform_bits,empirical_bits,Si_guided_cost,uniform_cost,empirical_cost
22405537.14285714,0.1005,0.1645,0.9325,10.461885452270508,10.34427547454834,1.1200871467590332,27|64|128|128|256|256|256|102|51|51|51|51|51|51|10,5|13|26|26|51|51|51|102|102|102|102|102|102|102|2,27|64|128|128|256|256|256|51|51|51|51|51|51|51|10,8|8|8|8|8|8|8|8|6|2|2|2|2|2|4,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,8|8|6|8|6|6|6|8|6|6|4|4|8|8|8,21837752.0,20388900.0,21155028.0
41406942.28571428,0.5905,0.7775,0.934,9.683741569519043,6.747023582458496,0.6898629665374756,27|64|128|128|256|256|256|512|102|51|51|51|51|51|10,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,27|64|128|128|256|256|256|256|102|51|51|51|179|51|10,8|8|8|8|8|8|8|8|8|8|6|4|2|6|8,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,37053294.0,34103676.0,39766584.0
60408347.428571425,0.932,0.8985,0.9325,0.5007811188697815,5.579724311828613,0.4360158145427704,27|64|128|128|256|256|256|512|256|102|51|51|51|51|10,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,27|64|128|128|256|256|256|512|179|102|51|102|256|51|10,8|8|8|8|8|8|8|8|8|8|8|6|6|8|8,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,47645652.0,51155514.0,56023608.0
79409752.57142857,0.932,0.926,0.9315,0.28520262241363525,3.1441283226013184,0.2807992994785309,27|64|128|128|256|256|256|512|512|358|102|102|51|51|10,19|45|90|90|179|179|179|358|358|358|358|358|358|358|7,27|64|128|128|256|256|256|512|256|179|102|102|512|102|10,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,73844688.0,71544414.0,75328056.0
98411157.7142857,0.932,0.926,0.932,0.255012571811676,3.0507545471191406,0.25803953409194946,27|64|128|128|256|256|256|512|512|512|256|179|102|51|10,19|45|90|90|179|179|179|358|358|358|358|358|358|358|7,27|64|128|128|256|256|256|512|512|256|102|179|512|512|10,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,91706736.0,95392552.0,95486936.0
117412562.85714285,0.932,0.9325,0.932,0.25234970450401306,0.9577502608299255,0.2517026662826538,27|64|128|128|256|256|256|512|512|512|358|256|256|102|10,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,27|64|128|128|256|256|256|512|512|512|256|256|512|512|10,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,105767280.0,102310476.0,115438352.0
136413968.0,0.932,0.932,0.932,0.2515895366668701,0.25606006383895874,0.2515895366668701,27|64|128|128|256|256|256|512|512|512|358|358|512|512|10,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,27|64|128|128|256|256|256|512|512|512|358|358|512|512|10,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,123795824.0,136413968.0,123795824.0
