budget,uniform_acc,flat_acc,raw_S_acc,rank_S_acc,log_S_acc,empirical_acc
22405537.14285714,0.1645,0.8715,0.1005,0.536,0.916,0.9325
41406942.28571428,0.7775,0.933,0.5905,0.933,0.933,0.934
60408347.428571425,0.8985,0.932,0.932,0.9315,0.9315,0.9325
79409752.57142857,0.926,0.9315,0.932,0.932,0.932,0.9315
98411157.7142857,0.926,0.9315,0.932,0.932,0.932,0.932
117412562.85714285,0.9325,0.932,0.932,0.932,0.932,0.932
136413968.0,0.932,0.932,0.932,0.932,0.932,0.932
