case,rho_aligned,rho_rand_median,rho_rand_max
single_op,1.0000003576278687,0.5149482488632202,0.619192898273468
linear_depth_1,1.0000002647215165,,
linear_depth_2,0.5187696955257068,,
linear_depth_4,0.11017610996508263,,
linear_depth_8,0.008319359528101974,,
