budget,Si_guided_acc,uniform_acc,empirical_acc,Si_guided_err_mean,uniform_err_mean,empirical_err_mean,Si_guided_ks,uniform_ks,empirical_ks,Si_guided_bits,uniform_bits,empirical_bits,Si_guided_cost,uniform_cost,empirical_cost
493210.0,0.1075,0.1075,0.1075,19.45953369140625,19.45953369140625,19.45953369140625,3|6|13|13|26|26|26|1,3|6|13|13|26|26|26|1,3|6|13|13|26|26|26|1,2|2|2|2|2|2|2|2,2|2|2|2|2|2|2|2,2|2|2|2|2|2|2|2,493210.0,493210.0,493210.0
3201121.714285714,0.1595,0.1005,0.1185,19.19184112548828,19.449848175048828,19.016817092895508,27|64|128|128|26|26|26|10,3|6|13|13|26|26|26|1,27|64|64|13|26|26|26|10,8|8|8|6|6|4|2|6,8|8|8|8|8|8|8|8,8|8|6|6|6|6|6|8,2782316.0,1972840.0,2038450.0
5909033.428571428,0.299,0.494,0.2945,17.298263549804688,14.752906799316406,17.293521881103516,27|64|128|128|179|26|26|10,14|32|64|64|128|128|128|5,27|64|90|128|128|26|26|10,8|8|8|8|6|6|4|8,4|4|4|4|4|4|4|4,8|8|6|6|4|6|6|8,4768582.0,4862332.0,3533924.0
8616945.142857142,0.3165,0.679,0.2945,17.113983154296875,12.17805290222168,17.293521881103516,27|64|128|128|256|26|26|10,19|45|90|90|179|179|179|7,27|64|90|128|128|26|26|10,8|8|8|8|8|8|6|8,4|4|4|4|4|4|4|4,8|8|6|6|4|6|6|8,6500476.0,6804076.0,3533924.0
11324856.857142856,0.795,0.7755,0.884,9.293991088867188,9.489109992980957,2.6442320346832275,27|64|128|128|256|256|26|10,19|45|90|90|179|179|179|7,27|64|128|128|179|256|90|10,8|8|8|8|8|6|6|8,6|6|6|6|6|6|6|6,8|8|8|8|6|6|6|8,9901484.0,10206114.0,10200670.0
14032768.57142857,0.8935,0.7675,0.8935,1.5035004615783691,9.333574295043945,1.5035004615783691,27|64|128|128|256|256|128|10,19|45|90|90|179|179|179|7,27|64|128|128|256|256|128|10,8|8|8|8|8|8|6|8,8|8|8|8|8|8|8|8,8|8|8|8|8|8|6|8,13876752.0,13608152.0,13876752.0
16740680.285714284,0.8945,0.886,0.8935,0.9556688666343689,2.944667339324951,1.5035004615783691,27|64|128|128|256|256|179|10,27|64|128|128|256|256|256|10,27|64|128|128|256|256|128|10,8|8|8|8|8|8|6|8,6|6|6|6|6|6|6|6,8|8|8|8|8|8|6|8,15208770.0,14586444.0,13876752.0
19448592.0,0.8905,0.8905,0.8905,0.7050921320915222,0.7050921320915222,0.7050921320915222,27|64|128|128|256|256|256|10,27|64|128|128|256|256|256|10,27|64|128|128|256|256|256|10,8|8|8|8|8|8|8|8,8|8|8|8|8|8|8|8,8|8|8|8|8|8|8|8,19448592.0,19448592.0,19448592.0
