config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
11,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,48527747274.38395,44635002222.58944,43966205796.185776,12.476104736328125,10.308780670166016,2.1243065639886538e-10,2.570921808775495e-10,0.0,0.0,0.0,op_decomposed
12,3|6|13|13|26|26|26|51|51|51|51|51|51|51|1,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,28032141219.57258,25294320149.572304,25019326331.069176,13.565383911132812,10.478326797485352,3.7379688233585284e-10,4.8392251317253e-10,0.0,0.0,0.0,op_decomposed
13,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,8849218416.054935,8025019195.864314,7924291452.867672,14.14648151397705,5.731184005737305,6.476486014150851e-10,1.5986136858714417e-09,0.0,0.0,0.0,op_decomposed
14,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,42487793383.22245,39033947301.689285,38456601472.36863,12.484652519226074,10.313135147094727,2.4273172360977924e-10,2.9384092381512517e-10,0.0,0.0,0.0,op_decomposed
15,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,8849218416.054935,8025019195.864314,7924291452.867672,14.14648151397705,5.731184005737305,6.476486014150851e-10,1.5986136858714417e-09,0.0,0.0,0.0,op_decomposed
16,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,6968467531.929038,6338170923.014744,6256708728.240719,11.491545677185059,5.503801345825195,7.898151577201418e-10,1.649077874255056e-09,0.0,0.0,0.0,op_decomposed
17,7|16|32|32|64|64|64|128|128|128|128|128|128|128|2,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,18876222637.40492,17298692359.262497,17032556457.187984,15.940896987915039,9.330583572387695,4.943034870308338e-10,8.444960841735849e-10,0.0,0.0,0.0,op_decomposed
18,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,5740645084.991781,5226357257.665927,5159263086.085729,10.117515563964844,2.411902904510498,4.201449188556694e-10,1.7624354198275682e-09,0.0,0.0,0.0,op_decomposed
19,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,9414616626.607018,8581315640.213228,8468270781.906975,13.357843399047852,8.51419448852539,9.043590321056172e-10,1.4188408226090132e-09,0.0,0.0,0.0,op_decomposed
20,3|64|13|13|192|26|256|384|256|128|256|51|128|512|2,3|3|6|5|2|2|4|6|5|2|4|6|4|8|2,37109574004.23324,33586556064.518684,33158254036.829937,12.39590072631836,10.327824592590332,2.783062114097845e-10,3.3403510513174695e-10,0.0,0.0,0.0,op_decomposed
21,27|32|128|32|256|256|256|256|384|51|512|384|256|512|2,4|3|3|3|2|6|8|4|5|2|2|8|3|3|2,12916159298.062143,11918162673.196915,11745947834.226152,12.38875961303711,10.299568176269531,7.974173543701113e-10,9.591674121622873e-10,0.0,0.0,0.0,op_decomposed
22,3|64|96|128|128|256|64|128|512|384|512|256|384|384|5,2|4|6|2|5|6|8|4|3|3|2|8|4|2|8,46731111474.1479,42169729604.478355,41679674831.52275,12.65664005279541,10.358837127685547,2.216689748424372e-10,2.708396840134242e-10,0.0,0.0,0.0,op_decomposed
23,7|32|32|64|192|26|26|128|128|51|512|512|512|51|1,2|8|3|6|6|2|5|2|4|2|2|6|2|3|3,44652932058.840454,40433737979.58136,39901221521.43876,12.3558931350708,10.298460006713867,2.306334567769852e-10,2.7670954416691984e-10,0.0,0.0,0.0,op_decomposed
24,3|48|32|13|26|256|192|512|51|256|51|128|51|256|5,5|3|2|6|5|2|6|2|8|5|3|4|4|8|5,30657323395.718235,27848370119.174522,27462641328.778225,14.28872299194336,10.933852195739746,3.566473505411949e-10,4.660786201426959e-10,0.0,0.0,0.0,op_decomposed
25,27|16|32|13|64|64|128|512|256|51|512|384|128|51|8,8|5|6|6|4|8|4|5|8|4|3|6|8|2|5,4496442541.294166,4134391312.275101,4090364498.0391746,12.96037769317627,10.348730087280273,2.3015374051027493e-09,2.882362792888671e-09,0.0,0.0,0.0,op_decomposed
26,3|32|13|128|128|64|64|384|256|512|256|256|512|512|2,8|4|5|8|5|8|2|2|6|3|8|4|3|3|3,26752054862.247448,24149345688.08327,23874215552.947277,12.615303993225098,10.282154083251953,3.8435007954085165e-10,4.715638990404614e-10,0.0,0.0,0.0,op_decomposed
27,20|48|128|96|26|192|256|384|51|128|384|51|256|128|8,6|5|6|6|2|2|5|4|4|5|2|5|3|6|8,4114456581.326141,3743234204.632244,3703009899.3512764,14.055858612060547,10.43450927734375,2.5360600286461477e-09,3.4162126461012576e-09,0.0,0.0,0.0,op_decomposed
28,3|16|13|96|192|128|26|128|51|51|512|512|51|128|1,6|8|3|4|4|8|3|2|5|5|8|2|2|4|5,28376270478.70977,25671339547.168358,25377379211.065796,12.355034828186035,10.296142578125,3.6284342197490105e-10,4.354002158812875e-10,0.0,0.0,0.0,op_decomposed
29,3|32|32|128|128|26|64|256|51|51|51|128|256|512|5,4|6|2|8|8|6|8|5|8|8|5|8|5|4|6,30913989806.77476,27960425651.656593,27620223958.01478,15.892006874084473,11.594827651977539,3.750673105429314e-10,5.140716741180995e-10,0.0,0.0,0.0,op_decomposed
30,7|16|96|128|128|26|64|128|256|256|256|256|51|256|10,2|2|4|3|3|6|4|4|5|6|3|4|2|5|8,55710779678.47104,50343403481.81074,49729141644.10573,12.855073928833008,10.342708587646484,1.8565002313231105e-10,2.3074661625877013e-10,0.0,0.0,0.0,op_decomposed
31,7|6|64|32|256|26|128|384|256|256|384|51|51|512|8,5|4|4|2|5|2|8|5|5|2|4|4|8|8|3,22327651243.207687,20482344393.759327,20148617295.28309,15.2176513671875,11.264501571655273,5.045091011623981e-10,6.815608077914703e-10,0.0,0.0,0.0,op_decomposed
32,7|64|96|13|26|26|64|128|51|384|51|51|384|512|10,4|5|5|6|8|8|3|5|2|4|3|4|6|3|5,21291215244.74937,19305869964.723816,19053771055.890717,15.0004243850708,10.880929946899414,5.110525336249339e-10,7.045358740853658e-10,0.0,0.0,0.0,op_decomposed
33,7|32|13|13|26|256|192|128|51|384|384|256|128|51|2,6|3|2|3|5|5|4|6|3|2|6|5|3|6|5,21093152240.720856,19815234092.930477,19422569492.959553,12.678375244140625,10.286640167236328,4.876767878414512e-10,6.01065919259014e-10,0.0,0.0,0.0,op_decomposed
34,20|64|96|64|192|192|64|512|512|128|51|256|256|256|1,6|3|4|6|3|5|6|4|8|8|5|2|2|6|2,6249680336.609645,5778841418.409163,5702953511.125907,12.395145416259766,10.294235229492188,1.6471617403368555e-09,1.983324615650872e-09,0.0,0.0,0.0,op_decomposed
35,3|16|32|13|128|26|192|256|128|128|384|256|512|384|10,6|2|6|2|8|6|6|2|8|5|3|4|6|6|5,32609896122.82299,29579653008.929245,29215442755.931526,14.907230377197266,11.23420524597168,3.445029539417277e-10,4.5713824392557e-10,0.0,0.0,0.0,op_decomposed
36,20|48|128|128|64|26|26|128|256|512|512|256|256|51|8,4|4|5|5|5|2|3|8|3|3|4|8|4|2|2,10793513431.053848,9794411638.57953,9679425249.3148,12.796016693115234,10.32025146484375,9.5615315665043e-10,1.1855284531847587e-09,0.0,0.0,0.0,op_decomposed
37,20|48|32|96|256|26|64|256|384|51|512|384|384|384|1,2|5|3|2|2|6|6|3|8|4|2|8|6|8|4,33861756098.165413,30825077809.70885,30377511224.28734,12.576717376708984,10.287972450256348,3.0382277249607625e-10,3.7141362208004125e-10,0.0,0.0,0.0,op_decomposed
38,7|48|96|13|26|256|192|512|256|51|512|256|128|384|5,8|8|2|6|3|2|5|5|4|3|5|4|8|2|2,16225689548.846973,14936196941.322214,14682179491.233019,12.744608879089355,10.343950271606445,6.37504493639085e-10,7.854586980826639e-10,0.0,0.0,0.0,op_decomposed
39,3|48|64|13|256|256|256|128|128|51|512|512|384|512|5,2|3|5|6|5|2|2|5|2|2|5|3|8|2|5,49239641919.57043,44477552811.719315,43964902230.30641,12.370811462402344,10.305553436279297,2.0929383226508946e-10,2.512368368901008e-10,0.0,0.0,0.0,op_decomposed
