layer,kind,k,bits,S_i,gamma_i,a_i,W_norm_i,H_im1,sigma_k1,eta_measured,predicted_full_term,empirical_sensitivity
0,conv,14,4,21771.2663761296,210.31319252714397,2.992779493331909,2.992779493331909,103.518310546875,0.45940274000167847,0.24884049594402313,15419.352148865875,3.773678779602051
1,conv,32,4,11068.091977249247,71.03520055626926,2.9606897830963135,2.9606897830963135,155.81137084960938,0.6729726195335388,0.3303716778755188,11105.106968571974,3.6403369903564453
2,conv,64,4,4220.734496313499,23.999219138429982,2.9598963260650635,2.9598963260650635,175.86965942382812,0.25699546933174133,0.28150540590286255,2272.8692203977043,2.1036274433135986
3,conv,64,4,2930.473622045239,8.095344970853903,2.9645702838897705,2.9645702838897705,361.9949035644531,0.5814259052276611,0.33128252625465393,2674.6679830772086,2.192458391189575
4,conv,128,4,1199.813363858177,2.7819156628169224,2.909989356994629,2.909989356994629,431.29034423828125,0.35063761472702026,0.31034842133522034,793.0598793911191,1.9104658365249634
5,conv,128,4,538.6311315450897,1.0017067692098465,2.7771756649017334,2.7771756649017334,537.71337890625,0.7105321884155273,0.3784150183200836,586.5408661568669,3.4425716400146484
6,linear,128,4,296.92587078937504,1.002108097076416,0.9995995163917542,0.9995995163917542,296.3012390136719,0.3803084194660187,0.41949450969696045,237.48218120161042,2.930725574493408
7,linear,5,4,92.11592102050781,1.0,1.002108097076416,1.002108097076416,92.11592102050781,0.9991364479064941,0.16743595898151398,107.45989169759946,12.563310623168945
