seed,rank_frac,bits,rho_conv,p_conv,rho_all,p_all
31,0.25,4,0.8626373626373626,0.00014744785947619777,0.4892857142857142,0.06416038631454045
31,0.5,4,0.6318681318681317,0.020516042572872477,0.22142857142857136,0.42771371901637
31,0.75,4,0.5384615384615384,0.05763443347046609,0.13214285714285715,0.6387442188840664
31,0.5,3,0.12637362637362637,0.6807854750709491,-0.0035714285714285704,0.9899214068809781
31,0.5,6,0.8681318681318682,0.0001191025598004272,0.5142857142857142,0.0498392334714206
32,0.25,4,0.8571428571428571,0.00018093408872524061,0.48571428571428565,0.06642631232518953
32,0.5,4,0.5494505494505494,0.05177062555916278,0.13928571428571426,0.6205460876279013
32,0.75,4,0.5274725274725275,0.0639548914835548,0.125,0.6571356681869506
32,0.5,3,0.005494505494505494,0.9857869107140622,-0.16428571428571426,0.5584973732486013
32,0.5,6,0.8131868131868131,0.0007236077236996981,0.47857142857142854,0.07113080825563313
33,0.25,4,0.8571428571428571,0.00018093408872524061,0.48571428571428565,0.06642631232518953
33,0.5,4,0.5659340659340659,0.04379259223545486,0.15,0.5936302027425882
33,0.75,4,0.521978021978022,0.06729171199351022,0.12142857142857141,0.6664011137233893
33,0.5,3,0.03846153846153846,0.9007243023389339,-0.10357142857142855,0.7133796306287293
33,0.5,6,0.8131868131868131,0.0007236077236996981,0.47142857142857136,0.07607042915033116
34,0.25,4,0.8516483516483516,0.00022021941625366217,0.48214285714285704,0.0687495377206437
34,0.5,4,0.6428571428571429,0.017792450692375714,0.2071428571428571,0.4588428049634703
34,0.75,4,0.532967032967033,0.06073650306561791,0.12857142857142856,0.6479163294665076
34,0.5,3,0.005494505494505494,0.9857869107140622,-0.12857142857142856,0.6479163294665076
34,0.5,6,0.8406593406593407,0.0003190712406937145,0.4964285714285714,0.05979741374992394
35,0.25,4,0.8461538461538461,0.00026601205575225306,0.47142857142857136,0.07607042915033116
35,0.5,4,0.532967032967033,0.06073650306561791,0.0857142857142857,0.7613341261907667
35,0.75,4,0.3626373626373627,0.22331572029248178,-0.039285714285714285,0.8894459296739486
35,0.5,3,-0.03846153846153846,0.9007243023389339,-0.22142857142857136,0.42771371901637
35,0.5,6,0.7747252747252747,0.0018713615028719084,0.4464285714285714,0.09529321315352628
36,0.25,4,0.8406593406593407,0.0003190712406937145,0.475,0.07357086204591355
36,0.5,4,0.5384615384615384,0.05763443347046609,0.13214285714285715,0.6387442188840664
36,0.75,4,0.4725274725274725,0.10298105029992857,0.08214285714285713,0.7710285652881773
36,0.5,3,-0.010989010989010988,0.971577682777073,-0.1357142857142857,0.6296204418728145
36,0.5,6,0.8131868131868131,0.0007236077236996981,0.47857142857142854,0.07113080825563313
37,0.25,4,0.8571428571428571,0.00018093408872524061,0.48571428571428565,0.06642631232518953
37,0.5,4,0.6318681318681317,0.020516042572872477,0.19999999999999998,0.47481396452216845
37,0.75,4,0.5274725274725275,0.0639548914835548,0.125,0.6571356681869506
37,0.5,3,0.016483516483516484,0.9573761750901848,-0.12142857142857141,0.6664011137233893
37,0.5,6,0.8241758241758241,0.0005302228375973589,0.48571428571428565,0.06642631232518953
38,0.25,4,0.8516483516483516,0.00022021941625366217,0.48214285714285704,0.0687495377206437
38,0.5,4,0.6428571428571429,0.017792450692375714,0.2071428571428571,0.4588428049634703
38,0.75,4,0.5989010989010989,0.03055411417293788,0.17857142857142855,0.5242843600465525
38,0.5,3,0.06593406593406594,0.830542385756094,-0.08928571428571427,0.751672517350277
38,0.5,6,0.8681318681318682,0.0001191025598004272,0.5142857142857142,0.0498392334714206
