config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
12,3|6|13|13|26|26|26|1,8|8|8|8|8|8|8|8,103231.1391168296,91447.3346959947,90628.92916340384,46.50452423095703,20.102806091308594,0.00019473586871754378,0.00045048928586766124,0.0,0.0,0.0,op_decomposed
13,14|32|64|64|128|128|128|5,5|5|5|5|5|5|5|5,65757.84300518317,60352.83373475918,59774.83057855828,33.41234588623047,13.824954986572266,0.0002102403959725052,0.0005081119597889483,0.0,0.0,0.0,op_decomposed
14,27|64|128|128|256|256|256|10,2|2|2|2|2|2|2|2,108697.36673160965,100803.21341872778,99740.12443689012,46.582950592041016,20.095855712890625,0.00018487895431462675,0.0004285563773009926,0.0,0.0,0.0,op_decomposed
15,14|32|64|64|128|128|128|5,5|5|5|5|5|5|5|5,65757.84300518317,60352.83373475918,59774.83057855828,33.41234588623047,13.824954986572266,0.0002102403959725052,0.0005081119597889483,0.0,0.0,0.0,op_decomposed
16,14|32|64|64|128|128|128|5,6|6|6|6|6|6|6|6,59497.34487661554,54829.58270238885,54146.65432960859,32.50001525878906,13.50263786315918,0.00022694520885124803,0.0005462431581690907,0.0,0.0,0.0,op_decomposed
17,7|16|32|32|64|64|64|2,6|6|6|6|6|6|6|6,114158.41157383127,101185.29872596785,99835.3262828182,44.56675720214844,19.632835388183594,0.0001719788706395775,0.00039039397961460054,0.0,0.0,0.0,op_decomposed
18,20|48|96|96|192|192|192|8,5|5|5|5|5|5|5|5,27531.96710822646,26081.10691790766,25664.403107758575,29.522342681884766,8.174787521362305,0.00029691989766433835,0.0010722932638600469,0.0,0.0,0.0,op_decomposed
19,27|64|128|128|256|256|256|10,4|4|4|4|4|4|4|4,33488.33095228271,32296.224944603015,31743.92936620832,28.55071449279785,12.759407997131348,0.0003810105554293841,0.0008525570738129318,0.0,0.0,0.0,op_decomposed
20,3|64|13|13|192|26|256|8,4|3|8|4|8|2|3|6,103942.73780855308,92949.15753232161,92031.75698232494,46.73416519165039,20.04088592529297,0.0001928069832501933,0.00044961454113945365,0.0,0.0,0.0,op_decomposed
21,7|16|32|128|192|26|26|5,6|5|2|4|6|4|8|2,117284.02289251442,103818.87457878172,102395.5065393654,46.63695526123047,19.927873611450195,0.00016991124721243978,0.00039764115354046226,0.0,0.0,0.0,op_decomposed
