budget,uniform_acc,raw_S_acc,rank_S_acc,log_S_acc,empirical_acc
6856.0,0.109375,0.109375,0.109375,0.109375,0.109375
100480.0,0.109375,0.03125,0.03125,0.109375,0.03125
194104.0,0.109375,0.109375,0.109375,0.109375,0.109375
287728.0,0.109375,0.109375,0.109375,0.109375,0.109375
