dataset,seed,epochs,test_acc,conv_trunk_rho,conv_trunk_p,all_layer_rho
cifar10,0,40,0.9267,0.5494505494505494,0.05177062555916278,0.23571428571428568
cifar10,1,40,0.9273,0.7527472527472527,0.002982233389169851,0.36428571428571427
cifar10,2,40,0.9229,0.7637362637362637,0.002376614797908447,0.39999999999999997
svhn,0,40,0.9601259987707437,-0.5439560439560439,0.05464653454086549,-0.6928571428571427
svhn,1,40,0.9581284572833436,-0.5824175824175823,0.0367413343586543,-0.7178571428571427
svhn,2,40,0.9581284572833436,-0.6263736263736264,0.021988602409889674,-0.7535714285714286
