seed,rank_frac,bits,rho_conv,p_conv,rho_all,p_all
31,0.25,4,-0.4340659340659341,0.1383423778882126,-0.6214285714285712,0.013402006712181813
31,0.5,4,-0.32967032967032966,0.27133505450523593,-0.5535714285714285,0.03228710377012361
31,0.75,4,-0.4945054945054945,0.08582353060960757,-0.6607142857142856,0.007330569830891709
31,0.5,3,-0.8021978021978022,0.0009687789139250083,-0.8678571428571429,2.7518063955129214e-05
31,0.5,6,-0.08241758241758242,0.788950927847518,-0.3071428571428571,0.26547268571027804
32,0.25,4,-0.32967032967032966,0.27133505450523593,-0.5535714285714285,0.03228710377012361
32,0.5,4,-0.35714285714285715,0.2309298623020339,-0.5714285714285713,0.026063193376362856
32,0.75,4,-0.5439560439560439,0.05464653454086549,-0.6928571428571427,0.004190232960298139
32,0.5,3,-0.7307692307692307,0.004547733743967148,-0.8214285714285712,0.0001731477175071704
32,0.5,6,0.021978021978021976,0.9431862416608071,-0.24642857142857136,0.37595051597380513
33,0.25,4,-0.1868131868131868,0.5411235235098939,-0.46071428571428563,0.08393338135031418
33,0.5,4,-0.20329670329670327,0.5053147342962485,-0.47142857142857136,0.07607042915033116
33,0.75,4,-0.4505494505494505,0.1223318876780357,-0.6321428571428571,0.0114575415400789
33,0.5,3,-0.8846153846153846,5.905745217191008e-05,-0.9214285714285713,1.0713172981620741e-06
33,0.5,6,0.13186813186813187,0.6676075762175145,-0.16785714285714282,0.5498555542278021
34,0.25,4,-0.32967032967032966,0.27133505450523593,-0.5535714285714285,0.03228710377012361
34,0.5,4,-0.19780219780219782,0.5171309114848299,-0.4678571428571427,0.07863023115438063
34,0.75,4,-0.5879120879120878,0.03458605834210791,-0.7214285714285712,0.0023988680726733424
34,0.5,3,-0.8626373626373626,0.00014744785947619777,-0.907142857142857,3.063310535493869e-06
34,0.5,6,0.06593406593406594,0.830542385756094,-0.21071428571428572,0.45095786521528514
35,0.25,4,-0.2802197802197803,0.35376363563367896,-0.5214285714285714,0.04621923447857304
35,0.5,4,-0.32967032967032966,0.27133505450523593,-0.5535714285714285,0.03228710377012361
35,0.75,4,-0.4340659340659341,0.1383423778882126,-0.6214285714285712,0.013402006712181813
35,0.5,3,-0.8296703296703297,0.000450286295546213,-0.8857142857142855,1.1199821851208482e-05
35,0.5,6,0.07142857142857142,0.8166280406760861,-0.21428571428571427,0.44314093482351435
36,0.25,4,-0.4175824175824176,0.15567475363347452,-0.6107142857142855,0.015592831421175632
36,0.5,4,-0.41208791208791207,0.1617510527725265,-0.6071428571428571,0.01638130676830708
36,0.75,4,-0.5494505494505494,0.05177062555916278,-0.6964285714285713,0.003921190506879551
36,0.5,3,-0.8406593406593407,0.0003190712406937145,-0.8928571428571428,7.494736064568255e-06
36,0.5,6,-0.027472527472527472,0.9290117291603509,-0.2785714285714285,0.3147094732307908
37,0.25,4,-0.21428571428571427,0.4820544547023681,-0.47857142857142854,0.07113080825563313
37,0.5,4,-0.19780219780219782,0.5171309114848299,-0.4678571428571427,0.07863023115438063
37,0.75,4,-0.39560439560439564,0.18088916310494077,-0.5964285714285712,0.01893192468786518
37,0.5,3,-0.8296703296703297,0.000450286295546213,-0.8857142857142855,1.1199821851208482e-05
37,0.5,6,0.0,1.0,-0.25357142857142856,0.3618161038158894
38,0.25,4,-0.4340659340659341,0.1383423778882126,-0.6214285714285712,0.013402006712181813
38,0.5,4,-0.35714285714285715,0.2309298623020339,-0.5714285714285713,0.026063193376362856
38,0.75,4,-0.5714285714285714,0.0413422673717235,-0.7107142857142856,0.002978994886802742
38,0.5,3,-0.8296703296703297,0.000450286295546213,-0.8857142857142855,1.1199821851208482e-05
38,0.5,6,-0.07692307692307691,0.8027630076692551,-0.3321428571428571,0.22647175907072437
